trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
288,False,"{'a': 1.0, 'e': 1.1010318525932004e-05}",20,10,19.063775894304115,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 1.0, 'e': 1.0129990980873928e-05}",20,13,16.424261656051186,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 1.0, 'e': 9.32004917096632e-06}",20,9,20.270534717128808,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 1.0, 'e': 8.574865573722194e-06}",25,11,23.187665512920496,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,False,"{'a': 1.0, 'e': 7.889262586245039e-06}",30,20,18.577228354346133,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,False,"{'a': 1.0, 'e': 7.258476556597674e-06}",25,6,10.935333429558916,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
294,False,"{'a': 1.0, 'e': 6.67812469030358e-06}",25,18,14.89458391288502,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 1.0, 'e': 6.1441746022147215e-06}",20,0,35.7453185729943,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
296,False,"{'a': 1.0, 'e': 5.652916302332757e-06}",20,12,14.95830667536973,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 1.0, 'e': 5.2009364210591385e-06}",20,6,23.106907388281023,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 1.0, 'e': 4.785094494890122e-06}",25,17,13.18086772021894,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 1.0, 'e': 4.402501147872249e-06}",20,12,12.738190916977446,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 1.0, 'e': 4.050498017292795e-06}",20,6,-19.324007448802483,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
301,False,"{'a': 1.0, 'e': 3.7266392841865635e-06}",30,18,19.913448664527344,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
