trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 1.0, 'e': 0.9836975006285591}",20,0,-123.58974236372572,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
86,False,"{'a': 1.0, 'e': 0.9820137900379085}",20,0,-108.93332150969428,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 1.0, 'e': 0.9801596942659225}",20,0,-44.31778529615728,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
88,False,"{'a': 1.0, 'e': 0.9781187290638694}",20,0,-141.14577601971558,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
89,False,"{'a': 1.0, 'e': 0.9758729785823308}",20,0,-103.44950141416982,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
90,False,"{'a': 1.0, 'e': 0.973403006423134}",20,0,-154.0676715928055,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
91,False,"{'a': 1.0, 'e': 0.9706877692486436}",20,0,-99.21821098624459,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
92,False,"{'a': 1.0, 'e': 0.9677045353015495}",20,0,-29.91048079034309,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 1.0, 'e': 0.9644288107273639}",20,0,-80.81448778549588,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
94,False,"{'a': 1.0, 'e': 0.9608342772032357}",25,0,-146.37260110823695,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
95,False,"{'a': 1.0, 'e': 0.9568927450589139}",25,6,-74.43064434437052,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 0}",1
96,False,"{'a': 1.0, 'e': 0.9525741268224331}",20,0,-79.67128131732395,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
97,False,"{'a': 1.0, 'e': 0.9478464369215823}",20,6,-29.39999186995577,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 1.0, 'e': 0.9426758241011313}",20,5,-18.445343274755647,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
99,False,"{'a': 1.0, 'e': 0.9370266439430035}",25,0,-106.756890740004,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
100,False,"{'a': 1.0, 'e': 0.9308615796566531}",20,0,-55.126046603799324,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
101,False,"{'a': 1.0, 'e': 0.9241418199787566}",20,0,-147.59100377367923,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
102,False,"{'a': 1.0, 'e': 0.9168273035060777}",25,0,-120.38116444333394,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
103,False,"{'a': 1.0, 'e': 0.9088770389851439}",25,5,-60.788801488927014,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",1
104,False,"{'a': 1.0, 'e': 0.9002495108803148}",30,0,-122.44429085978379,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
105,False,"{'a': 1.0, 'e': 0.8909031788043871}",20,0,-81.13530352336406,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
106,False,"{'a': 1.0, 'e': 0.8807970779778825}",25,0,-154.6754194705099,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
107,False,"{'a': 1.0, 'e': 0.8698915256370021}",25,0,-57.192271055070094,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
108,False,"{'a': 1.0, 'e': 0.8581489350995123}",30,3,-63.24944360257165,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 0}",1
